Event Desc,En No,Site Name,Licensee Name,Region No,City Name,State Cd,County Name,License No,Agreement State Ind,Docket No,Unit Ind1,Unit Ind2,Unit Ind3,Reactor Type,Nrc Notified By,Ops Officer,Notification Dt,Notification Time,Event Dt,Event Time,Time Zone,Last Updated Dt,Emergency Class,Cfr Cd1,Cfr Descr1,Cfr Cd2,Cfr Descr2,Cfr Cd3,Cfr Descr3,Cfr Cd4,Cfr Descr4,Staff Name1,Org Abbrev1,Staff Name2,Org Abbrev2,Staff Name3,Org Abbrev3,Staff Name4,Org Abbrev4,Staff Name5,Org Abbrev5,Staff Name6,Org Abbrev6,Staff Name7,Org Abbrev7,Staff Name8,Org Abbrev8,Staff Name9,Org Abbrev9,Staff Name10,Org Abbrev10,Scram Code 1,RX CRIT 1,Initial PWR 1,Initial RX Mode1,Current PWR 1,Current RX Mode 1,Scram Code 2,RX CRIT 2,Initial PWR 2,Initial RX Mode 2,Current PWR 2,Current RX Mode 2,Scram Code 3,RX CRIT 3,Initial PWR 3,Initial RX Mode 3,Current PWR 3,Current RX Mode 3,Event Text
Non-Agreement State,52551,WEST VIRGINIA UNIVERSITY HOSPITAL,WEST VIRGINIA UNIVERSITY HOSPITAL,1,MORGANTOWN,WV,,47-23066-02,N,,,,,,NASSER RAZMIANFAR,DONALD NORWOOD,2/15/2017 0:00,14:05,1/18/2017 0:00,,EST,2/15/2017 0:00,NON EMERGENCY,20.2201(a)(1)(ii),LOST/STOLEN LNM>10X,,,,,,,RAY MCKINLEY,R1DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"LOST IODINE-125 IMPLANT SEED  ""In compliance with 10 CFR 20.2201(a), this report serves as notification of the loss of licensed material under West Virginia University Hospital Broad Scope License 47-23066-02.   ""On January 18, 2017, the Radiation Safety Department discovered that one Iodine-125 seed used in a Radioactive Seed Localization (RSL) procedure was missing. The seed in question had been implanted on November 8, 2016 and contained 241 microCuries of I-125. The patient had surgery to excise the specimen with the seed on the same day as implantation.   ""The specimen went to the Breast Care Center for imaging and then to the Pathology gross room where the seeds are removed and placed into plastic vials to await pick up by Radiation Safety staff. Radiation Safety staff documented that the seed in question plus 3 others were picked up from the gross room on November 9, 2016 and taken to the radioactive waste storage area.   ""The seed was discovered missing on January 18, 2017 during preparation of a return shipment of seeds to the manufacturer. WVU Radiation Safety promptly investigated the cause of the incident and performed thorough radiation surveys in the Pathology gross room, radioactive waste storage area, and specimen blocks in Pathology, however all surveys were indistinguishable from background. WVU Hospital feels it is likely that the seed was extracted from the specimen in the gross room but was never placed into the plastic vial and subsequently ended up discarded in the gross room waste.   ""During pick up by Radiation Safety, the seed was falsely identified by a visual verification as being present in the plastic vial. A blue plastic spacer, which comes preloaded in the syringe with the seed, may have been mistakenly identified as the seed due to its similar size and shape. WVU Hospital has instituted corrective actions to include more intense radiation surveys and better documentation of those surveys to prevent a future occurrence. In compliance with 10 CFR 20.2201(b), please expect a written report within the next 30 days for more details regarding this incident.""  THIS MATERIAL EVENT CONTAINS A ""LESS THAN CAT 3"" LEVEL OF RADIOACTIVE MATERIAL  Sources that are ""Less than IAEA Category 3 sources,"" are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf"
Power Reactor,52552,SUSQUEHANNA,PPL SUSQUEHANNA LLC,1,ALLENTOWN,PA,LUZERNE,,N,5000387,1,2,,"[1] GE-4,[2] GE-4",LONNIE CRAWFORD,BETHANY CECERE,2/15/2017 0:00,18:10,2/15/2017 0:00,13:37,EST,2/15/2017 0:00,NON EMERGENCY,50.72(b)(3)(v)(C),POT UNCNTRL RAD REL,,,,,,,RAY MCKINLEY,R1DO,,,,,,,,,,,,,,,,,,,N,Y,100,Power Operation,100,Power Operation,N,Y,94,Power Operation,94,Power Operation,N,N,0,,0,,"LOSS OF SECONDARY CONTAINMENT DIFFERENTIAL PRESSURE  ""On February 15, 2017 at 1337 [EST], Secondary Containment Zone 1 (Unit 1 Reactor Building) differential pressure lowered to 0 inches WG [Water Gauge] due to a trip of the running Unit 1 B Filtered Exhaust Fan. Required differential pressure per SR [Surveillance Requirement] 3.6.4.1.1 could not be maintained. Zone 1 differential pressure recovered to greater than 0.25 inches WG less than one minute later after start of the standby Zone 1 Filtered Exhaust Fan.  Zone 2 (Unit 2 Reactor Building) and Zone 3 (Common Areas of Unit 1&2 Reactor Buildings) ventilation remained in service and stable.    ""This event is being reported under 10 CFR 50.72(b)(3)(v)(C) and per the guidance of NUREG-1022, Rev 3 section 3.2.7 as a loss of a Safety Function.  There is no redundant Susquehanna Secondary Containment System.""  Post-maintenance testing was underway when the fan tripped.  While the investigation is on-going to determine the cause, the licensee does not believe the maintenance or testing caused the fan to trip    The licensee has notified the NRC Resident Inspector."
Agreement State,52553,COLORADO DEPT OF HEALTH,ENVISION INC.,4,FORT CARSON,CO,,GL,Y,,,,,,LINDA BARTISH,BETHANY CECERE,2/15/2017 0:00,19:08,2/15/2017 0:00,10:09,MST,2/15/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,HEATHER GEPFORD,R4DO,NMSS_EVENTS_NOTIFICA,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - MISSING TRITIUM EXIT SIGNS  The following information was received via e-mail from the Colorado Department of Public Health and Environment:  ""The general license section of the Radioactive Materials Program sent out annual notifications requesting response regarding tritium exit signs reported in use at locations given by the manufacturer.  Upon an audit of the annual mailing for non-responders, Envision Inc. was contacted.  After a complete inspection of the base store they are reporting the store was remodeled approximately 8 years ago; at that time the 4 tritium exit signs were removed. It is unknown if the exit signs were lost, destroyed or placed into the dumpster with the debris from the demolition.  No further information is available due to time of reporting loss and lack of response by Envision Inc.  ""Number of Tritium exit signs were 4, Model #2040.  Since Isolite Corporation did not report serial numbers on quarterly reports in 2001, no serial numbers are available.  Each tritium exit sign contained 7500 mCi [milliCuries] of H-3, they were shipped from Isolite on 9/28/2001.""  CO Event Report ID No.: CO17-0005  THIS MATERIAL EVENT CONTAINS A ""LESS THAN CAT 3"" LEVEL OF RADIOACTIVE MATERIAL  Sources that are ""Less than IAEA Category 3 sources,"" are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf"
Power Reactor,52555,CLINTON,AMERGEN ENERGY COMPANY,3,CLINTON,IL,DEWITT,,Y,5000461,1,,,[1] GE-6,DUANE AVERY,VINCE KLCO,2/16/2017 0:00,13:03,2/15/2017 0:00,15:15,CST,2/16/2017 0:00,NON EMERGENCY,26.719,FITNESS FOR DUTY,,,,,,,PATRICIA PELKE,R3DO, FFD GROUP,EMAI,,,,,,,,,,,,,,,,,N,Y,99,Power Operation,99,Power Operation,N,N,0,,0,,N,N,0,,0,,"FAILURE OF SECURITY DATABASE TO INCLUDE ALL PERSONNEL IN THE FFD POOL FOR RANDOM TESTING  ""On February 15, 2017 at 1515, it was discovered by corporate Fitness for Duty (FFD) personnel that an unescorted access reactivation feature in the security database (Illuminate) does not reset the flag to include an individual in the random FFD pool due to a database coding error. The Illuminate database was implemented fleet-wide 1/3/17.  ""Review by corporate FFD personnel found one individual currently badged at Clinton Power Station was affected by the coding error. The individual was not in the FFD random pool from 1/3/17 until 2/15/17. Corporate security personnel found no other individuals to be affected by this issue.  ""Affected individual was added to the FFD random pool. Corporate security personnel notified all Exelon sites of the issue. Sites were notified that the ability to use the re-activation feature in Illuminate would be removed from use by site personnel. Pending removal, a daily query would be run in the database to assure the re-activation feature had not been used by site personnel.""  The licensee informed the NRC Resident Inspector."
Power Reactor,52556,LASALLE,EXELON NUCLEAR CO.,3,MARSEILLES,IL,LA SALLE,,Y,5000373,1,2,,"[1] GE-5,[2] GE-5",MARK S. SMITH,STEVE SANDIN,2/16/2017 0:00,13:54,2/16/2017 0:00,8:35,CST,2/16/2017 0:00,NON EMERGENCY,50.72(b)(3)(v)(C),POT UNCNTRL RAD REL,50.72(b)(3)(v)(D),ACCIDENT MITIGATION,,,,,PATRICIA PELKE,R3DO,,,,,,,,,,,,,,,,,,,N,Y,5,Startup,5,Startup,N,N,0,Defueled,0,Defueled,N,N,0,,0,,"SECONDARY CONTAINMENT INOPERABLE DUE TO INTERLOCK FAILURE  ""This report is being made in accordance with 10 CFR 50.72(b)(3)(v)(C), for an event or condition that could have prevented fulfillment of a safety function needed to control the release of radioactive material and 10 CFR 50.72(b)(3)(v)(D) for an event or condition that could have prevented fulfillment of a safety function needed to mitigate the consequences of an accident. An employee entered a secondary containment airlock and identified that both doors of the airlock opened simultaneously when the door on the reactor building side was opened. The employee immediately secured both doors in the airlock and notified the Main Control Room Supervisor. Both doors in the airlock were open for approximately 5 seconds.   ""With both doors open, Technical Specifications (TS) Surveillance Requirement (SR) 3.6.4.1.2 was not met. This rendered secondary containment inoperable in accordance with TS 3.6.4.1. Reactor Building differential pressure, as observed in the Main Control Room, has remained more negative than -0.25 inches of vacuum water gauge at all times. Initial investigation determined that the interlock for the doors was malfunctioning. Administrative controls have been put in place to ensure the doors remain closed pending repairs to the interlock.""  The licensee informed the NRC Resident Inspector."
Power Reactor,52557,BROWNS FERRY,TENNESSEE VALLEY AUTHORITY,2,DECATUR,AL,LIMESTONE,,Y,,,2,,"[1] GE-4,[2] GE-4,[3] GE-4",MARK MOEBES,STEVE SANDIN,2/16/2017 0:00,15:57,2/16/2017 0:00,10:52,CST,2/16/2017 0:00,NON EMERGENCY,50.72(b)(3)(v)(D),ACCIDENT MITIGATION,,,,,,,BRIAN BONSER,R2DO,,,,,,,,,,,,,,,,,,,N,N,0,,0,,N,Y,77,Power Operation,77,Power Operation,N,N,0,,0,,"HPCI SYSTEM INOPERABLE DUE TO BLOWN FUSE  ""On February 16, 2017 at 1052 CST, Unit 2 received a High Pressure Coolant Injection (HPCI) System 120V Power Failure alarm. Troubleshooting identified a cleared fuse for the HPCI System Flow Controller, 2-FIC-73-33, which would have prevented automatic or manual HPCI System initiation and rendered the HPCI System inoperable. At 1145 CST, the cleared fuse was replaced and the HPCI system was declared available. The HPCI System remains inoperable for additional troubleshooting.  ""This constitutes an unplanned HPCI System inoperability and requires an 8 hour ENS notification in accordance with 10 CFR 50.72(b)(3)(v)(D), due to the failure of a single train system affecting accident mitigation and a 60 day written report in accordance with 10 CFR 50.73(a)(2)(v)(D).  ""The Senior NRC Resident Inspector has been notified."""
Power Reactor,52558,HATCH,SOUTHERN NUCLEAR OPERATING COMPANY,2,BAXLEY,GA,APPLING,,Y,,,2,,"[1] GE-4,[2] GE-4",PAUL UNDERWOOD,STEVE SANDIN,2/16/2017 0:00,17:28,2/16/2017 0:00,13:20,EST,2/16/2017 0:00,NON EMERGENCY,50.72(b)(3)(iv)(A),VALID SPECIF SYS ACTUATION,,,,,,,BRIAN BONSER,R2DO,,,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,Refueling,0,Refueling,N,N,0,,0,,"UNEXPECTED AUTOSTART OF AN EMERGENCY DIESEL GENERATOR  ""On February 16, 2017 at 1320 EST, the 2A Emergency Diesel Generator (EDG) started in response to a valid actuation signal due to the momentary loss of the 2C Startup Transformer (SAT). While performing maintenance activities on the 2D SAT, the alternate supply breaker tripped and reclosed, allowing the 4160 2E Emergency Bus to be momentarily de-energized. When the 4160 2E Emergency Bus de-energized, the 2A EDG received a valid autostart signal due to emergency bus low voltage. Although, the 2A EDG did autostart, it did not tie to the 4160 2E Emergency Bus as the 4160 2E Emergency Bus was re-energized from the 2C SAT.   ""This event is reportable per 10 CFR 50.72(b)(3)(iv)(A) since the autostart of the 2A EDG was not part of a pre-planned sequence and the event resulted in the valid actuation of an emergency ac electrical power system.   ""CR 10332134  ""The NRC Resident has been notified."""
Agreement State,52559,CALIFORNIA RADIATION CONTROL PRGM,UNKNOWN,4,DESERT HOT SPRINGS,CA,,UNKNOWN,Y,,,,,,THOMAS GEZA MIKO,STEVE SANDIN,2/16/2017 0:00,21:43,2/16/2017 0:00,13:00,PST,2/22/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,HEATHER GEPFORD,R4DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - CPN INSTROTEK NOTIFIED CALIFORNIA OF MISSING CPN NUCLEAR GAUGE LOCATION  The following information was received from the State of CA via email:  ""[The] President of CPN InstroTek in North Carolina called Thomas G. Miko of Los Angeles County Radiation Management, the LEA for Radiologic Health Branch [RHB], on February 16, 2017, from his office in North Carolina. [The CPN President] received a phone call from an anonymous caller in California who found a nuclear gauge from CPN InstroTek. The anonymous caller told [the CPN President] that the gauge is in a shed on a ranch in Southern California. [The CPN President] provided the anonymous caller's cell phone number. Thomas G. Miko spoke with the anonymous caller at 4:30 p.m. on February 16, 2017. The anonymous caller stated that he is in Palm Springs, and that the gauge is in a storage shed of items removed from a pawn shop in Temecula, California, after it went out of business. He said that this shed is in Desert Hot Springs, California, outside of Los Angeles County's jurisdiction.  ""Arrangements were made with the anonymous caller for him to drop off the gauge in its original case at the Riverside County Fire Station, where he would contact [a designated] Firefighter.  ""[The CPN President] requested that Radiologic Health Branch provide him with the serial number of the gauge for his own reference, once Radiologic Health Branch employees take possession of the gauge from Riverside County Fire Department.  ""Arrangements were made for [a] Radiologic Health Branch employee to drive from the Brea, Orange County, California office to take possession of the device from Riverside County Fire Department on Friday, February 17, 2017.   ""RHB Brea will follow up to see if they can match the gauge's serial number with that of any previously reported lost or stolen gauges.""  CA 5010 Number:  021617  * * * UPDATE AT 1229 EST ON 2/17/17 VIA EMAIL * * *  The missing gauge was not in the case.  Law Enforcement is conducting an investigation.   Notified R4DO (Gepford), NMSS (McIntosh) and ILTAB (Pearson).  * * * RETRACTION AT 1603 EST ON 2/17/17 FROM THOMAS MIKO TO S. SANDIN * * *  The State of California is retracting this report since no gauge was identified or recovered.  Notified R4DO (Gepford), NMSS (McIntosh) and ILTAB (Pearson).  * * * UPDATE AT 0116 EST ON 2/22/17 VIA EMAIL * * *   The missing radiological source was returned tonight (2/21/17) and is currently at a fire station in Riverside County. The gauge will remain at the station overnight and will be picked up by California Department of Public Health, Radiologic Health Branch tomorrow (2/22/17).  Notified R4DO (Pick), ILTAB (Whitney) and NMSS (McIntosh).  THIS MATERIAL EVENT CONTAINS A ""LESS THAN CAT 3"" LEVEL OF RADIOACTIVE MATERIAL  Sources that are ""Less than IAEA Category 3 sources,"" are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf"
Agreement State,52560,NC DIV OF RADIATION PROTECTION,DUKE UNIVERSITY,1,DURHAM,NC,,,Y,,,,,,TRAVIS CARTOSKI,STEVE SANDIN,2/17/2017 0:00,12:20,2/11/2017 0:00,,EST,2/17/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,RAY MCKINLEY,R1DO,ANGELA MCINTOSH,NMSS, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - LEAKING URANIUM-235 SOURCE WITH CONTAMINATION IN PUBLIC AREAS  The following report was received from the State of North Carolina via email:  ""On 2/15/2017 Duke University reported to the NC Radiation Protection Section (NCRPS) a leaking source:   U-235 3 microcuries 1.5 grams S/N: D16156   ""This source was loaned to Duke University through Los Alamos National Laboratory (LANL) for experimentation, research, education and calibration purposes.  NCRPS personnel were dispatched to conduct a reactive inspection on 2/15/2017. Through interviews with Duke personnel it was determined that during an experiment the source integrity was compromised and assumed to be leaking.  No direct wipe of the source was taken.  The source was packaged to prevent contamination and then isolated for pending disposal.  It was also determined that the actual breach of the source occurred on 2/11/2017.  Given the lapse of when the source was compromised and when Duke Radiation Safety Office was notified it is apparent that established Duke SOPs were not followed.  Duke personnel and researchers believed to have been exposed to the leaking source had lung scans performed on 2/15/2017, in which all came back indicating no exposure.  Duke personnel accompanied by NCRPS staff began testing for contamination of the affected area and surrounding areas due to the compromised source.   ""On 2/16/2017, Duke personnel again notified NCRPS that contamination was discovered outside of the anticipated areas where contamination was suspected.  On 2/16/2017, NCRPS personnel continued the reactive inspection. The scope to the surveys was expanded to now cover high traffic areas, vehicles of the individuals involved, bathrooms and other areas where potential contamination from the leaking source may have been in.  Testing of these areas for contamination is ongoing at the time of this report.  For the identified personnel directly associated with the leaking source, surveys and wipes were expanded to their residences.  One residence, that of a Duke Physicist Researcher, presented contamination on a toilet seat which was decontaminated and re-surveyed and re-wiped and the results confirmed the decontamination.  Other areas of the residence were surveyed and at the time of this report all results indicate no further contamination.  Additional researchers identified on 2/16/17 to have been involved with the leaking source, were also scheduled to have lung scans on 2/17/2017.  Additionally, Duke University decided to compound testing to include urinalysis and possibly bloodwork at the advice of REACTS.  At this time, it is believed that contamination due to the leaking source has been contained and no members of the public have received radiation exposures.  To date, the highest reading in proximity to the source on Duke University's property was 7000 CPM and 4280 DPM.   ""On 2/17/2017, NCRPS in conjunction with Duke personnel reconvened to continue to complete the expanded surveys and wipes of all possible suspected areas and to conduct additional interviews with Duke personnel to rule out any chances of additional affected persons.  Currently, this is an ongoing investigation and this event will be updated as additional details are received.""  North Carolina Event Report 2/17/2017."
Agreement State,52561,NEW YORK STATE DEPT. OF HEALTH,GLOBAL FOUNDRIES,1,MALTA,NY,,G5498,Y,,,,,,DANIEL J. SAMSON,STEVE SANDIN,2/17/2017 0:00,14:40,2/13/2017 0:00,,EST,2/17/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,RAY MCKINLEY,R1DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - LEAKING NICKEL-63 SOURCES  The following information was provided from the State of NY via email:  ""License No.: G5498  ""Licensee: Global Foundries  ""Event date and time: 2/13/2017  ""Event location: 400 Stone Break Road Extension, Malta, NY 12020  ""Event type: Leaking Nickel-63 sources  ""Event description: Global Foundries reported that leak testing of three (3) Eckert & Ziegler Isotope Products Inc., model NER-004R, 10-millicurie Nickel-63 sources indicated removable contamination in excess of 0.005 microCuries. Test results of serial no. 89051 vacuum measured 0.406 microCuries contamination, serial no. 87622 vacuum measured 3.12 microCuries contamination, and serial no.88706 vacuum measured 4.32 microCuries contamination. Initial testing was performed on February 8, 2017, by Jay R. Dockendorff of RSA laboratories, Connecticut License No. 06-300007-01. The report to the NYS Department of Health stated that the sources were isolated and the licensee has contacted the manufacturer for return instructions. Retesting has been arranged with the samples collected February 15, 2017. They were requested to provide the retesting results to the NYS DOH along with the receipt when the sources are returned to the vendor/manufacturer.  ""Event Report ID No.:  NYDOH - NY-17-03"""
Non-Agreement State,52562,CINER WYOMING LLC,CINER WYOMING LLC,4,GREEN RIVER,WY,,49-11578-01,N,,,,,,HILARY HUCKFELDT,STEVE SANDIN,2/17/2017 0:00,15:09,2/16/2017 0:00,15:00,MST,2/17/2017 0:00,NON EMERGENCY,30.50(b)(2),SAFETY EQUIPMENT FAILURE,,,,,,,HEATHER GEPFORD,R4DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"SHUTTERS STUCK OPEN ON TWO FIXED BERTHOLD GAUGES  ""Company Name: Ciner Wyoming LLC Address: 254 County Road 4-6, Green River, WY 82935 RSO Name: Hilary Huckfeldt                 License #: 49-11578-01 Issue: Shutters on two fixed gauges did not operate during the semi-annual inventory shutter operation check. Date of Discovery: February 16, 2017 at 3:00 PM MST  ""Gauge 1 Manufacturer: Berthold  Serial #: FN-782-14-11-97 Activity: 20 milliCuries Isotope: Cs-137 Model: LB7440D Issue: Shutter stuck in open position. Currently in use on pipe.  ""Gauge 2 Manufacturer: Berthold Serial #: FR411-22-01-98 Activity: 50 milliCuries Isotope: Cs-137 Model: LB7440D Issue: Shutter locked in open position. Currently in use on pipe.  ""Corrective Action: Contacted manufacturer to repair/replace the failed components. Working with manufacturer to get this corrected as soon as possible."""
Power Reactor,52563,HATCH,SOUTHERN NUCLEAR OPERATING COMPANY,2,BAXLEY,GA,APPLING,,Y,5000321,1,2,,"[1] GE-4,[2] GE-4",PAUL UNDERWOOD,STEVE SANDIN,2/17/2017 0:00,17:46,2/17/2017 0:00,14:14,EST,2/17/2017 0:00,NON EMERGENCY,50.72(b)(3)(v)(C),POT UNCNTRL RAD REL,,,,,,,BRIAN BONSER,R2DO,,,,,,,,,,,,,,,,,,,N,Y,100,Power Operation,100,Power Operation,N,N,0,Refueling,0,Refueling,N,N,0,,0,,"SECONDARY CONTAINMENT INOPERABLE  ""On 2/17/2017 at 1414 EST, secondary containment was declared inoperable due to the discovery of an 18-inch open pipe penetration in the secondary containment boundary. During walkdown activities, it was discovered that a blind flange installed to support removal of a Unit 2 secondary containment isolation valve had been installed on the wrong flange to provide isolation for secondary containment. At 1503 EST, the blind flange was moved to the correct side of the flange and secondary containment was declared operable.   ""This event is reportable per 10 CFR 50.72(b)(3)(v)(C) as a condition that at the time of discovery could have prevented the fulfillment of the safety function of a system needed to control the release of radioactive material. In conjunction with operation of the Standby Gas Treatment (SGT) subsystems, secondary containment is designed to reduce the activity level of the fission products prior to release to the environment and to isolate and contain fission products that are released during certain operations. Therefore, the lack of a qualified isolation device to limit the release of radioactive material constitutes a loss of safety function due to a loss of secondary containment integrity.   ""CR 10332592  ""The NRC Resident has been notified."""
Power Reactor,52564,LASALLE,EXELON NUCLEAR CO.,3,MARSEILLES,IL,LA SALLE,,Y,5000373,1,,,"[1] GE-5,[2] GE-5",WAYNE CLAYTON,DONG HWA PARK,2/18/2017 0:00,2:58,2/17/2017 0:00,23:53,CST,2/18/2017 0:00,NON EMERGENCY,50.72(b)(2)(iv)(B),RPS ACTUATION - CRITICAL,,,,,,,PATRICIA PELKE,R3DO,,,,,,,,,,,,,,,,,,,A/R,Y,30,Power Operation,0,Hot Shutdown,N,N,0,,0,,N,N,0,,0,,"AUTOMATIC REACTOR SCRAM RESULTING FROM FEEDWATER REGULATING VALVE FAILURE  ""This notification is being provided in accordance with 10CFR 50.72(b)(2)(iv)(B).  ""On February 17, 2017 at 2353 CST, Unit 1 Reactor Automatic Scram signal was received due to Turbine Control Valves Fast Closure. The turbine trip was due to receipt of Level 8 Trip due to a failure of the Feedwater Regulating Valve to Full open. Plant is in a stable condition with reactor pressure being maintained by the Turbine Bypass valves. Reactor water level is being controlled with Feedwater thru the Low Flow Feedwater Regulating Valve. Further investigation into the cause of the event is in progress.""  All control rods fully inserted, and decay heat is being removed via steam to the main condenser using bypass valves.     The licensee has notified the NRC Resident Inspector."
Agreement State,52565,WISCONSIN RADIATION PROTECTION,UNIVERSITY OF WISCONSIN -  MADISON,3,MADISON,WI,,025-1323-01,Y,,,,,,MARK PAULSON,STEVE SANDIN,2/18/2017 0:00,13:04,2/17/2017 0:00,17:30,CST,2/23/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,PATRICIA PELKE,R3DO,NMSS_EVENTS_NOTIFICA,,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - MISSING TRITIUM SOURCE AND DEPLETED URANIUM DISKS  ""The Wisconsin Department of Health was notified by phone at 5:30 PM on February 17, 2017 that the licensee has lost components of a radio-synthesis device containing approximately 70 Ci of Hydrogen-3 and 20 grams of Depleted Uranium in the form of uranium tritide (UT3) discs. More than three years ago, the licensee had packaged the material and placed it into a metal drum while a disposal option was to be determined. The drum was stored in a restricted area near the licensee's incineration facility. A week ago the licensee was preparing to repackage the material in order to transfer it for final disposal. The drum was found to be empty when opened. The licensee has search all facilities used for radioactive material storage and reviewed disposal records; but has been unable to account for the material. At this time the licensee suspects that the material was incorrectly disposed of in either a non-hazardous waste stream or incinerated within the last three years. The department has started an investigation to determine the most likely disposal pathway and the exposure impact. Site visits and updates will [be] perform[ed].  ""Event Report ID No.:  WI170003""  * * * UPDATE PROVIDED BY KYLE WALTON TO JEFF ROTTON VIA EMAIL AT 1331 EST ON 02/23/2017 * * *   ""The licensee has performed a preliminary investigation and concluded that it is unlikely the loss of material was malicious.  The licensee has already begun an impact assessment for the potential incineration of material, and Wisconsin DHS has coordinated with the licensee on what actions need to take place going forward.  Inspectors will be performing an on-site inspection to further gather information.""  Notified R3DO (Jeffers) and NMSS Events Notification group via email.   THIS MATERIAL EVENT CONTAINS A ""LESS THAN CAT 3"" LEVEL OF RADIOACTIVE MATERIAL  Sources that are ""Less than IAEA Category 3 sources,"" are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf"
Power Reactor,52566,RIVER BEND,ENTERGY NUCLEAR,4,ST FRANCISVILLE,LA,WEST FELICIANA,,Y,5000458,1,,,[1] GE-6,MICHAEL D. BRANSCUM,JEFF HERRERA,2/19/2017 0:00,0:21,2/18/2017 0:00,15:37,CST,2/19/2017 0:00,NON EMERGENCY,50.72(b)(3)(v)(B),POT RHR INOP,,,,,,,HEATHER GEPFORD,R4DO,,,,,,,,,,,,,,,,,,,N,N,0,Refueling,0,Refueling,N,N,0,,0,,N,N,0,,0,,"LOSS OF CONTROL BUILDING CHILLED WATER  ""At 1537 CST on February 18th, 2017, while the plant was in MODE 5 for a scheduled refueling outage, the main control room experienced a loss of Control Building chilled water and the associated ventilation systems while attempting to alternate divisions for testing.  An equipment malfunction in a breaker supplying a Main Control Room air handling unit caused a loss of both divisions of Control Room and Control Building chilled water systems and associated ventilation systems until 1737 CST.  During the period between 1537 and 1737, neither division of Control Building chilled water was able to perform the support function for cooling Division 1 and 2 AC and DC power distribution systems or the support function for the Division 1 and 2 Control Room Fresh Air systems.   ""Shutdown Cooling remained in service throughout this event.  There were no apparent effects on any plant equipment from the loss of chill water and ventilation.    ""The Division 1 Control Building chill water and ventilation system was returned to service at 1737 on February 18, 2017.  ""Actions were initiated to terminate the OPDRV [operations with potential to drain the reactor vessel] that was in progress at the time of the event by installing the reactor recirculation pump seal.  As a conservative measure, actions were initiated to set containment and containment was set at 2145.  ""Troubleshooting and analysis is ongoing to confirm and correct the problem which caused the loss of the Control Building chill water and ventilation system.  ""This condition is being reported in accordance with 10 CFR 50.72(b)(3)(v)(B).  ""The NRC Senior Resident Inspector has been notified."""
